domain,predefined_inventory_urls
hiautosale.com,http://www.hiautosale.com/HiAutoV2/HiAutoInventory.aspx
yorkautoguys.com,https://www.cargurus.com/Cars/m-York-Auto-Guys-sp390843
autoti.com,https://www.autoti.com/inventory/
qualitycarsqc.com,https://qualitycarsqc.com/listings-2/?min_price=&max_price=&odometer=&s=
bickleyford.com,https://www.bickleyford.com/inventory/search?stock_type=New&page=1&page_length=1000
camclarkfordrichmond.com,https://www.camclarkfordrichmond.com/inventory/search?stock_type=New&page=1&page_length=1000
miltonvw.com,https://www.miltonvw.com/en/inventory/search?page=1&page_length=1000
mirandamotorsonline.com,https://www.commercialtrucktrader.com/dealers/Trucks-for-sale-at-Miranda-Motors-Used-Trucks-in-Pilesgrove-New-Jersey/864330?dealerid=864330
performancelexus.com,"https://www.performancelexus.com/new-vehicles/,https://www.performancelexus.com/used-vehicles/"
noerrsintl.com,https://www.truckpaper.com/listings/trucks-and-trailers/for-sale/list/?PCID=2001231705&dlr=1
bobbygerhartstruckworld.com,http://www.autofind.com/dealer/listing/2125/used/
carolinatrucksales.net,https://www.truckpaper.com/listings/trucks-and-trailers/for-sale/list/?pcid=2000749553&dlr=1
landroverwaterloo.com,"https://www.landroverwaterloo.com/en/inventory/search-new-inventory?stock_type=New&make=Land%20Rover&page=1&page_length=1000,https://www.landroverwaterloo.com/en/inventory/search-pre-owned-inventory?stock_type=Used&make=Land%20Rover&page=1&page_length=1000"
quinlansequipment.com,"https://www.quinlansequipment.com/inventory/?/listings/trucks-and-trailers/for-sale/list/category/209?etid=1&pcid=2000798901&dlr=1&lo=4,https://www.quinlansequipment.com/inventory/?/listings/farm-equipment/for-sale/list?pcid=2941043&etid=1&dlr=1&lo=4,https://www.quinlansequipment.com/inventory/?/listings/trucks-and-trailers/for-sale/list?ETID=1&pcid=2000798901&dlr=1&catid=207&lo=4,https://www.quinlansequipment.com/inventory/?/listings/construction-equipment/for-sale/list?ETID=1&pcid=2952846&dlr=1&lo=4"
mariettatrucksales.com,https://www.commercialtrucktrader.com/dealers/Marietta-Truck-Sales/735360?dealerid=735360
mhc.com,https://mhc.com/trucks/search/used-trucks?f_condition=new
topofthehillautoexchange.com,http://www.autofind.com/dealer/listing/185913/used/
transchicago.com,"http://trucks.transchicago.com/trucks-for-sale,http://trailers.transchicago.com/trailers-for-sale/"
landroverofrichmond.com,"https://www.landroverofrichmond.com/en/inventory/search-new-inventory?stock_type=New&make=Land%20Rover&page=1&page_length=1000,https://www.landroverofrichmond.com/en/inventory/search-pre-owned-inventory?stock_type=Used&make=Land%20Rover&page=1&page_length=1000"
landmarkhonda.com,"https://www.landmarkhonda.com/inventory.cfm?NewUsed=0&MakeID=&ModelID=&VehicleTypeID=,https://www.landmarkhonda.com/inventory.cfm?NewUsed=1&MakeID=&ModelID=&VehicleTypeID="
idrivecertified.com,https://idrivecertified.com/vehicles/
